Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,-,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
589489,Dřevnovice,380,220,219,-,68,0,0,0,0,28,32,0,6,0,1,0,0,0,0,4,0,0,1,38,2,24,15,0,0
589497,Dzbel,209,133,133,-,50,0,0,0,0,22,24,0,2,0,1,0,0,2,0,5,0,1,0,8,0,6,11,0,1
549967,Hačky,83,67,65,-,12,0,1,0,0,0,18,0,4,0,0,1,1,3,0,4,2,3,0,5,1,0,10,0,0
589501,Hluchov,292,174,173,-,61,0,0,0,1,25,9,0,9,0,0,0,0,0,0,4,0,6,5,36,1,7,9,0,0
589519,Horní Štěpánov,749,454,452,-,130,0,0,0,2,48,64,1,16,0,4,0,0,2,0,10,1,1,1,66,5,41,56,4,0
589527,Hradčany-Kobeřice,326,196,194,-,50,1,0,0,3,24,14,1,11,0,0,0,0,3,0,5,0,1,1,49,1,14,16,0,0
589535,Hrdibořice,178,109,109,-,27,0,0,0,0,22,5,0,12,0,0,0,0,0,0,2,1,3,1,20,3,10,3,0,0
589543,Hrubčice,617,376,374,-,129,0,0,0,3,44,28,0,35,0,4,0,0,2,0,14,2,4,0,41,9,35,24,0,0
543543,Hruška,191,90,88,-,33,0,0,0,1,18,6,0,3,0,0,0,0,0,0,4,0,0,0,17,1,4,1,0,0
589560,Hvozd,524,340,336,-,79,0,0,0,0,42,59,1,16,0,7,0,0,1,1,14,3,4,2,36,5,30,34,1,1
589578,Ivaň,390,238,237,-,63,0,0,0,0,36,23,0,32,0,3,0,0,1,0,1,2,0,1,44,9,15,7,0,0
589586,Jesenec,246,139,139,-,43,0,0,0,2,14,16,2,6,3,4,0,0,0,0,4,0,0,0,24,5,5,9,0,2
589594,Kladky,289,140,140,-,30,0,0,0,1,17,24,2,7,0,3,0,0,1,0,2,1,2,0,17,3,9,17,1,3
589608,Klenovice na Hané,654,355,354,-,125,1,0,1,0,61,29,0,13,0,0,1,0,0,0,7,6,5,1,52,2,31,17,0,2
589616,Klopotovice,238,165,165,-,39,1,0,0,0,33,17,1,6,1,0,0,0,1,0,5,0,0,3,27,1,10,20,0,0
589624,Konice,2285,1393,1358,-,278,0,0,0,23,154,199,1,91,3,8,2,2,2,3,69,5,15,14,193,39,94,158,2,3
589632,Kostelec na Hané,2302,1334,1323,-,389,0,0,0,4,86,136,5,97,7,9,1,2,4,0,47,6,10,22,203,53,112,130,0,0
589641,Koválovice-Osíčany,232,152,151,-,33,0,0,0,0,25,30,0,4,0,0,1,0,0,4,3,0,3,1,27,1,5,14,0,0
589659,Kralice na Hané,1257,807,804,-,250,2,2,1,6,57,60,0,96,2,9,2,0,1,1,39,7,4,5,116,19,69,53,2,1
589667,Krumsín,465,284,284,-,64,1,0,0,0,34,52,0,22,2,0,1,0,0,0,8,1,0,1,42,4,22,30,0,0
589675,Laškov,487,335,334,-,103,0,0,0,1,30,71,0,15,3,0,1,0,3,0,9,1,5,3,37,10,23,18,0,1
589683,Lešany,320,196,194,-,69,0,0,0,3,17,16,0,22,1,2,0,2,1,0,2,1,5,7,24,0,11,10,0,1
589691,Lipová,615,450,449,-,132,0,0,0,0,51,102,0,24,0,1,0,0,0,0,16,0,4,1,50,8,21,39,0,0
589705,Ludmírov,480,239,239,-,82,0,0,0,1,28,34,0,11,0,2,0,0,0,0,11,0,3,0,29,3,10,25,0,0
589713,Malé Hradisko,309,185,185,-,38,0,3,0,0,23,27,0,18,2,1,0,0,0,0,13,2,0,3,28,1,7,19,0,0
589721,Mořice,422,226,223,-,66,0,0,0,0,39,13,0,8,1,2,0,0,0,0,22,0,1,2,39,1,9,20,0,0
589730,Mostkovice,1248,842,836,-,299,0,1,1,4,59,49,2,98,3,2,0,0,0,1,23,8,3,7,141,21,58,55,0,1
589748,Myslejovice,569,371,370,-,95,2,0,0,3,54,18,0,31,0,3,0,0,1,0,10,0,0,2,71,2,47,31,0,0
589756,Němčice nad Hanou,1612,942,939,-,264,3,4,0,5,110,79,1,79,6,6,0,3,2,2,23,0,4,6,176,24,44,96,1,1
589764,Nezamyslice,1140,619,615,-,205,1,0,0,3,58,57,1,51,0,6,0,1,0,0,27,0,2,4,89,16,35,56,1,2
589772,Niva,257,160,160,-,41,0,0,0,1,32,12,0,6,0,1,0,0,0,0,7,0,2,1,21,0,10,26,0,0
589799,Obědkovice,207,95,94,-,30,0,0,0,1,17,5,0,3,0,1,0,0,0,0,1,0,2,0,23,4,1,6,0,0
589802,Ohrozim,370,267,266,-,56,1,0,0,3,18,51,0,30,0,1,1,0,0,2,10,1,3,0,40,8,21,20,0,0
589811,Ochoz,152,102,99,-,25,0,0,0,1,8,31,0,9,0,0,0,0,6,0,2,0,1,0,5,4,3,4,0,0
589829,Olšany u Prostějova,1375,844,839,-,293,5,0,0,3,56,41,0,72,12,9,0,1,1,3,17,6,9,15,138,19,64,75,0,0
589837,Ondratice,289,173,171,-,36,0,1,0,0,28,30,1,9,2,5,0,0,0,0,4,1,2,0,28,2,12,10,0,0
589845,Otaslavice,1029,650,647,-,156,0,0,2,3,74,56,4,81,2,4,0,2,0,0,9,0,2,3,106,16,59,66,0,2
589853,Otinoves,229,144,143,-,40,0,0,0,2,17,25,0,3,0,0,0,0,2,0,3,0,0,0,18,5,20,8,0,0
557196,Pavlovice u Kojetína,232,135,134,-,44,0,0,0,0,21,12,0,4,0,1,0,0,1,0,11,1,1,0,19,1,6,12,0,0
589870,Pěnčín,594,352,349,-,113,0,2,1,1,37,41,0,18,1,2,1,0,2,1,12,1,3,2,68,4,15,22,0,2
589888,Pivín,565,382,381,-,118,0,0,0,1,24,64,1,19,0,3,1,0,1,0,23,0,5,1,77,10,20,13,0,0
589896,Plumlov,1934,1180,1175,-,312,2,2,1,2,102,110,4,120,5,3,0,2,3,0,24,1,11,16,197,40,118,100,0,0
549983,Polomí,124,78,78,-,15,0,0,0,0,11,12,0,2,2,1,0,0,1,0,3,0,6,0,8,2,3,12,0,0
589250,Prostějov,35975,21073,20934,-,6322,26,33,16,71,1699,1269,25,2152,109,120,16,6,29,31,459,67,270,350,3261,709,1942,1925,10,17
589918,Prostějovičky,242,138,137,-,38,0,0,0,0,20,15,0,13,0,2,0,0,0,1,5,0,1,6,11,1,12,12,0,0
589926,Protivanov,805,549,547,-,144,1,0,0,2,52,101,0,45,10,4,1,0,1,1,15,0,5,2,68,5,31,59,0,0
589934,Přemyslovice,1029,621,617,-,202,0,1,1,1,74,77,0,36,1,6,2,0,1,0,9,1,6,9,101,11,24,54,0,0
589942,Ptení,880,524,520,-,135,0,0,1,5,49,114,0,26,6,4,0,3,1,1,17,0,2,6,53,8,38,51,0,0
589951,Raková u Konice,163,104,101,-,30,0,0,0,2,16,19,0,5,0,0,0,0,0,0,5,1,0,1,11,1,10,0,0,0
589969,Rakůvka,80,61,61,-,17,0,0,0,0,8,2,0,1,0,1,0,0,0,0,0,2,0,0,13,2,4,11,0,0
589977,Rozstání,503,294,290,-,94,0,1,0,0,28,35,0,24,0,7,0,0,0,1,6,0,5,6,43,5,19,16,0,0
506770,Seloutky,410,288,287,-,87,0,0,0,0,33,30,0,34,0,2,0,0,0,0,6,0,3,3,32,9,29,19,0,0
589993,Skalka,212,131,131,-,31,0,0,0,0,20,17,0,7,1,1,0,0,0,0,7,0,1,1,20,4,14,7,0,0
590002,Skřípov,274,145,144,-,36,0,0,0,0,43,12,0,4,0,2,0,0,0,0,1,0,1,2,19,1,12,11,0,0
590011,Slatinky,453,314,313,-,87,0,0,0,0,30,27,0,32,0,0,1,0,0,0,16,0,2,7,29,23,44,15,0,0
590029,Smržice,1319,797,786,-,263,0,0,0,3,45,68,2,92,6,7,0,0,4,1,20,1,2,4,107,32,66,62,1,0
590045,Srbce,73,39,39,-,7,0,0,0,0,11,0,0,2,0,0,0,0,0,0,6,0,3,0,8,1,0,1,0,0
590053,Stařechovice,447,279,278,-,82,0,0,0,1,30,13,0,23,1,1,0,0,1,3,17,0,6,1,52,9,11,26,0,1
590061,Stínava,126,74,73,-,11,0,0,0,0,7,22,0,3,0,0,0,1,0,0,1,0,0,0,13,3,5,7,0,0
590070,Stražisko,345,222,220,-,83,0,0,0,0,25,30,0,3,0,1,0,0,0,0,4,0,2,1,34,2,14,20,0,1
590088,Suchdol,499,360,356,-,71,0,0,0,1,25,100,0,18,1,1,2,1,3,0,12,0,3,3,38,4,31,41,1,0
590096,Šubířov,204,110,109,-,37,0,0,0,0,14,7,1,6,0,1,0,0,0,0,6,0,1,2,11,2,12,9,0,0
590100,Tištín,393,215,215,-,63,2,0,0,1,15,14,0,6,1,0,0,0,0,0,17,2,4,5,43,3,6,32,0,1
590118,Tvorovice,252,152,152,-,38,0,0,0,3,22,18,0,9,1,1,0,0,0,0,14,3,0,1,24,1,8,9,0,0
590126,Určice,1101,613,611,-,158,0,5,1,4,69,35,1,68,6,5,1,0,0,0,29,5,11,18,110,12,38,35,0,0
590134,Víceměřice,354,204,204,-,56,0,0,0,4,19,13,0,11,3,2,0,1,0,0,3,1,1,1,33,5,18,33,0,0
590142,Vícov,404,254,250,-,69,1,0,0,3,24,40,0,17,0,4,1,0,0,0,5,1,3,4,41,6,20,11,0,0
544710,Vincencov,109,80,80,-,15,0,0,0,0,5,17,0,3,0,0,0,0,0,1,5,0,1,1,15,3,9,5,0,0
590151,Vitčice,146,84,84,-,33,0,1,0,0,5,6,0,6,0,2,0,0,0,1,3,0,0,0,15,0,6,5,0,1
590177,Vranovice-Kelčice,492,321,318,-,135,0,0,0,0,22,43,0,23,0,0,0,1,0,0,7,0,5,1,43,6,14,17,0,1
590185,Vrbátky,1306,863,857,-,287,4,1,0,5,85,79,1,68,2,6,1,0,1,1,31,5,11,7,119,14,68,60,0,1
590193,Vrchoslavice,478,282,275,-,87,1,0,2,1,31,15,0,17,4,1,0,0,1,2,16,0,3,3,49,4,18,20,0,0
590207,Vřesovice,419,281,280,-,61,0,0,0,1,41,69,0,15,0,0,0,0,1,2,8,0,1,3,40,8,14,16,0,0
590215,Výšovice,399,266,263,-,69,1,2,0,1,25,21,1,28,1,1,0,1,1,0,2,0,3,3,41,16,21,25,0,0
590223,Zdětín,282,196,194,-,53,1,0,0,2,16,18,0,6,0,0,0,0,0,1,13,1,0,1,38,2,21,21,0,0
590240,Želeč,436,278,278,-,67,2,0,0,1,49,28,0,21,0,7,0,0,0,0,17,0,2,3,47,2,17,15,0,0
